exposition;stomatal scenario;micrometeo scenario;tleaf max;tleaf mean;tleaf q90;tleaf max - tair;tleaf mean - tair;tleaf q90 - tair
north_east;intermediate;tcst_ucst;47.02707479192279;42.102953896987714;43.60608238888092;2.017074791922795;-2.9070461030122843;-1.403917611119077
north_east;intermediate;tcst_uvar;48.080455963013335;41.485111264851554;42.90891286173207;3.0704559630133375;-3.524888735148444;-2.1010871382679284
north_east;intermediate;tvar_ucst;47.569189667502684;42.615345449016104;44.582087017943884;2.559189667502686;-2.394654550983894;-0.42791298205611383
north_east;intermediate;tvar_uvar;48.58189901724155;41.9644350127213;43.81637883968869;3.571899017241549;-3.045564987278695;-1.1936211603113094
north_east;biochemical_dominant;tcst_ucst;48.18635960293231;44.369473973030836;46.103803189739324;3.1763596029323153;-0.6405260269691624;1.0938031897393259
north_east;biochemical_dominant;tcst_uvar;49.059181391136505;44.183474352860344;46.460179881511465;4.049181391136507;-0.826525647139654;1.4501798815114668
north_east;biochemical_dominant;tvar_ucst;48.51795698141093;44.788085672512445;46.526633602498265;3.507956981410935;-0.22191432748755346;1.516633602498267
north_east;biochemical_dominant;tvar_uvar;49.380976206699394;44.59219465786287;46.55496555392546;4.370976206699396;-0.41780534213712883;1.544965553925465
north_east;stomatal_sensitivity_dominant;tcst_ucst;48.08784379850823;44.11615694430836;45.91260665540284;3.0778437985082334;-0.8938430556916401;0.9026066554028418
north_east;stomatal_sensitivity_dominant;tcst_uvar;48.9923745917831;43.891629573495585;46.2206066346978;3.982374591783099;-1.1183704265044128;1.210606634697804
north_east;stomatal_sensitivity_dominant;tvar_ucst;48.43804565635767;44.54823276154843;46.29776597765681;3.428045656357675;-0.4617672384515714;1.287765977656811
north_east;stomatal_sensitivity_dominant;tvar_uvar;49.32906208175954;44.31351093061166;46.33107914089905;4.31906208175954;-0.6964890693883348;1.3210791408990517
north_east;stomatal_sensitivity_weak;tcst_ucst;43.75042872982846;40.267231800809476;42.329451825032514;-1.2595712701715414;-4.742768199190522;-2.680548174967484
north_east;stomatal_sensitivity_weak;tcst_uvar;43.16568793316033;39.5105918164834;41.477257389769555;-1.8443120668396702;-5.4994081835166;-3.532742610230443
north_east;stomatal_sensitivity_weak;tvar_ucst;44.520989899119485;40.71761611369153;42.94841629261319;-0.4890101008805132;-4.292383886308471;-2.0615837073868093
north_east;stomatal_sensitivity_weak;tvar_uvar;43.87426611955003;39.875381207765805;42.03930769587934;-1.135733880449969;-5.134618792234193;-2.9706923041206608
south_west;intermediate;tcst_ucst;49.38929903345594;42.70275590125811;46.20142695562715;4.379299033455943;-2.30724409874189;1.1914269556271506
south_west;intermediate;tcst_uvar;51.00386355011513;42.32932900658201;47.36346288230144;5.99386355011513;-2.6806709934179906;2.353462882301443
south_west;intermediate;tvar_ucst;49.80393247498935;43.297879363227395;46.993397424453754;4.793932474989354;-1.7121206367726032;1.9833974244537558
south_west;intermediate;tvar_uvar;51.29735038119393;42.96038244285223;47.88878478449593;6.2873503811939315;-2.0496175571477693;2.8787847844959344
south_west;biochemical_dominant;tcst_ucst;49.838037568829705;45.231630850406816;47.75279928801248;4.828037568829707;0.22163085040681807;2.7427992880124847
south_west;biochemical_dominant;tcst_uvar;51.39096053915179;45.35285020560323;48.813626439383384;6.380960539151793;0.3428502056032343;3.803626439383386
south_west;biochemical_dominant;tvar_ucst;50.17853821084312;45.647036661902185;48.19161067325183;5.168538210843124;0.6370366619021866;3.181610673251832
south_west;biochemical_dominant;tvar_uvar;51.93501488951624;45.75578630200245;49.310083859266605;6.925014889516241;0.7457863020024504;4.300083859266607
south_west;stomatal_sensitivity_dominant;tcst_ucst;49.813578752797405;44.94889881185943;47.64267996285997;4.8035787527974065;-0.06110118814056875;2.6326799628599744
south_west;stomatal_sensitivity_dominant;tcst_uvar;51.381781967083484;45.02700242774155;48.74478093849065;6.371781967083486;0.01700242774155214;3.734780938490651
south_west;stomatal_sensitivity_dominant;tvar_ucst;50.162083868081055;45.388163073986696;48.10266248823718;5.152083868081057;0.37816307398669835;3.092662488237181
south_west;stomatal_sensitivity_dominant;tvar_uvar;51.934335820098426;45.45683680490314;49.244710593945356;6.9243358200984275;0.4468368049031426;4.234710593945358
south_west;stomatal_sensitivity_weak;tcst_ucst;47.69102653191604;40.13220390502249;42.6412410102421;2.6810265319160393;-4.877796094977505;-2.3687589897579002
south_west;stomatal_sensitivity_weak;tcst_uvar;50.03132428426279;39.55340960150103;41.89695750791629;5.021324284262789;-5.456590398498967;-3.113042492083707
south_west;stomatal_sensitivity_weak;tvar_ucst;48.57913707328703;40.68767207101624;43.924890913849794;3.569137073287031;-4.322327928983761;-1.0851090861502044
south_west;stomatal_sensitivity_weak;tvar_uvar;51.023430817384366;40.0876893614895;43.0439983749565;6.013430817384368;-4.9223106385104956;-1.9660016250434964
